match_id,away_team_id,away_score,home_team_id,home_score,team_identifier_home,team_identifier_away
7485,760,0,761,1,4,2
7493,759,0,760,2,2,6
7456,766,2,763,1,7,3
7457,766,4,764,3,8,3
7486,762,1,765,3,1,9
7487,766,0,767,0,5,3
7519,766,4,765,1,1,3
7500,765,2,764,0,8,1
7523,764,0,760,0,2,8
7522,766,1,762,1,9,3
7494,767,2,762,1,9,5
7492,763,2,764,2,8,7
7477,767,0,765,4,1,5
7472,765,0,760,1,2,1
7475,761,1,766,4,3,4
7444,761,1,766,1,3,4
7482,759,0,766,2,3,6
7484,766,4,763,0,7,3
7490,765,2,763,1,7,1
7443,760,3,765,2,1,2
7473,763,1,767,3,5,7
7524,764,1,762,3,9,8
7479,759,1,764,2,8,6
7496,759,0,767,1,5,6
7497,766,1,761,1,4,3
7471,766,3,764,0,8,3
7483,764,2,767,1,5,8
7474,759,0,761,2,4,6
7480,767,0,760,1,2,5
7478,762,1,760,3,2,9
7445,759,0,767,2,5,6
7476,761,3,763,1,7,4
7521,767,2,763,1,7,5
7520,761,2,759,0,6,4
